"Story","Title","Result","Date","Stability","Duration (s)"
"Buy Product","Successful Purchase","PENDING","2023-08-09T16:28:19.7820064-05:00[America/Guayaquil]","0.0","0.09"
"Buy Product","Successful Purchase","SUCCESS","2023-08-09T16:29:37.8569502-05:00[America/Guayaquil]","0.0","14.83"
